documento_anon,cargo,funcion,edad,antiguedad,salario_total
13e9caf6700933890bb6f9143d54141f359ed07e1911784233c21c66d143d355,ENFERMERO/A ASIST. - NIVEL,ENFERMERO/A ASISTENCIAL,47.0,11,6015500
13ec28d62814b17b5bfc16c7ad9f9ffbaf0eab771389943557ea21dce888a40c,INVESTIGADOR,EJECUCIÓN DE PROYECTO DE INVESTIGACIÓN PINV01-26 - SISTEMAS PREDICTIVO BASADO EN REDES NEURONALES CONVOLUCIONALES PARA LA DETECCIÓN E IDENTIFICACIÓN DE DEFICIENCIAS NUTRICIONALES EN UN CULTIVO HIDROPONICO - CORRESPONDIENTE AL PRIMER PAGO,26.0,1,3000000
13efebe234124a096d9876af94c42fcf1c9ccdb56a50009399a4265f6038ac8e,DOCENTE TECNICO II,ASISTENTE SALA DE PROFESORES COORDINACIÓN DE GRADO DE INGENIERIA ELECTRONICA DEPARTAMENTO DE INGENIERIA ELECTRONICA Y MECATRONICA,59.0,24,6391942
13f11f2b173a66fc0891ee5722da8dd1f8d2ddcf8670544d34610abcc082ec99,DOCENTE PARA CURSOS,"COORDINADORA DE LA MAESTRIA EN CIENCIAS DE LOS ALIMENTOS, DE POSTGRADO",38.0,1,15936243
13f4b8855b85b324ae2389790d4489bc1fca825730724aac9e24c55abcd0a40e,COORDINADOR DE GEST. ACADEM.,COORDINADORA,49.0,20,24072452
13f7249bdd6d61cd241424178ea24114c14bc4e084dc6e7344ae1831610a9075,PROFESIONAL III,SECRETARIA ADMINISTRATIVA,51.0,8,5601597
13f8b52d9aa1f0d7f924b05165a1a2e22ae3e5506173b768f23b1b47c5477aa4,DOCENTE ENCARGADO DE CATEDRA,ENCARGADO DE CATEDRA,41.0,3,1294822
1406abd7d025d14ff4fcb6ee13386ae45bdb6cab3f88eae57bf1f07902b2b2f7,AUXILIAR ADMINISTRATIVO,RECEPCIONISTA,27.0,2,2798309
1409eeb115b960138152a6ad570f5eb4cca249505b37dcdce241c745758f3cab,DOCENTE TECNICO II,DOCENTE TECNICO II,46.0,10,3273216
140a881baf2d946161462051f8f97e3c6f9c38448f4e45d1c1c97d349812b0b4,PROFESOR,,,2026,0
140b36568e712c02ab21f1cc032a4d502185eab0734e88a6091d043ff9545eb8,DOCENTE ENCARGADO DE CATEDRA,,57.0,2026,1255979
140fbe21a059c13cdf8cf109cf3d29abf906c336ab5041731898ec5ed4c618aa,PROFESOR,ASISTENTE,52.0,2026,1569450
140fc9275682f38babd4a1a50b5c1a09e86c13a0f3c5b9861a11e888f7b6f372,PROFESOR ADJUNTO,PROFESOR ADJUNTO,,1,0
141273cd03c2bdd93f7dd592c99e7b302f8c46ea1eb85cf2f3a5099f508eaec1,PROFESIONAL II,PROFESIONAL II,38.0,2026,4998572
14149bd6d7a44fc1acac9ebe7417b28164975f0a5903a3d084e13d57aec377e3,AUXILIAR ADMINISTRATIVO III,AUXILIAR ADMINISTRATIVO III,42.0,3,4856594
1415d1d393092a56e73b14f544de50a0c8d7fe58f7b03237f90d06bcd048f415,ENFERMERIA PROFESIONAL IV,ENFERMERO/A ASISTENCIAL,54.0,33,9210000
14273d9295c448f6ad8d8ef49487e526bba52436d863fb57e59a9f1d52f6227c,PROFESOR ASISTENTE,PROFESOR ASISTENTE,,2026,0
142a5dcc66136e60ad6b77fb39dc81ad2971222084f16cf66cda296b96637aae,PERSONAL DE SERVICIO I,PERSONAL DE SERVICIO I,51.0,14,3669240
1434c229fa550aacc268fcf1b756e4930b546c24586602111efb61b2aea313e8,PROFESOR,PROFESOR,33.0,7,5418736
14357a8444626d9cf70d8e9341b68d90282346d803b61647a84b81be0e5c7d74,PROFESOR TITULAR,,,1,0
1436bee1acac4f617b4773343d0e73ff855bc8bbf7ec5b8f35c1ad0c11de749b,TECNICO I,CHOFER,58.0,40,6767568
143772d944777b77ece515810d9291209e19c036b5dd15e12507358f5c064d6f,DOCENTE MÉDICO II,INSTRUCTOR,53.0,26,17010000
143a7285aeb68b2844cc6c7afd6152533f324540e1234bfc74c1719bcf2dcf98,TECNICO I,CONTROLADOR INTERNO,41.0,17,5325956
143b0df60246e947836cef51bd0c09ab5875ab2dbca6d52ea67727227030182e,PERSONAL DE SERVICIO ESPECIFIC,ASISTENTE DE ENFERMERIA,57.0,38,5160000
143fa6ddd7dd4fff8dd6f7ccf023b677a0380cd73a6203b331e89ea2bc3d3222,PROFESIONAL I,ENCAG. DE BIBLIOTECA DE LA FILIAL DE SAN JUAN BAUTISTA,65.0,30,6734400
1444b6c5594290f372a496a260d90bb21867956f3f36073228d4dc99beb7afe5,TECNICO III,DEPARTAMENTO DE SERVICIOS GENERALES - PERSONAL DE SEGURIDAD,61.0,18,4654816
144e5cb42462ffc3a75f3b6028637e643b207cb37a5b85a91bcfa2b446bc58bd,TECNICO I,TECNICO I,60.0,2026,4971597
1452410685e582efee2750f11d6ba7c36d21caaf55cd2b3025414a907aa94594,DOCENTE ENCARGADO DE CATEDRA,DOCENTE ENCARGADO DE CATEDRA,38.0,3,956422
1459cf3f66b1babdc340af438e8fd03f59b988d474180421ae06e3e9848265ff,PROFESOR ADJUNTO,PROFESOR ADJUNTO,,1,0
1462f5eafd10cb038abacf0b58c9f2716e8c5e773252db31376d97b3e226ceb1,AUXILIAR DE LA ENSEÑANZA I,PROFESORA DE NIVEL INICIAL PREESCOLAR,49.0,1,3531181
146cf0fbf325a32eb6a8a21f4e14558f78ceb5f3bd4e5ccae10b02417962dd1e,PROFESOR ASISTENTE,PROFESOR ASISTENTE,43.0,2026,3413343
147135ee3b105d8db9749d65d3b6b078339a772ebe3b2feaa7c1f3eec4a99f1e,DOCENTE TECNICO I,BIOQUIMICO/A,57.0,20,6426452
1471bf67836bf2c319ad954d0e4b4b7b3493e7c89b908c2bfd422fc89a8eb25b,PROFESIONAL II,ASISTENTE DE ARCHIVO,45.0,2026,6753682
147238345c886ca28e03ef7c90074571de6dac0d426bdd8d2b4dc68780530bf2,PROFESOR,PROFESOR,41.0,2026,8621237
1473b54a6eead393e496ae7e0fbafaa63e6017f0956a916912ba455e64a6176d,TECNICO III,PERCEPTOR  - DEPARTAMENTO DE TESORERIA,34.0,4,4762112
1474ab7fa55b63022cfb0cf8f91d12817d25a86161ae1d982b2180e76381de8b,AUXILIAR DE LA ENSEÑANZA,AUXILIAR DE LA ENSEÑANZA FUNDAMENTOS DEL TRABAJO SOCIAL IV,60.0,1,643259
14778781c6c9c14014fd3757ba139236ba01ae1d6b9ebf6388bfb7cece3655cf,DOCENTE MÉDICO III,MEDICO RESIDENTE 1,28.0,1,5807958
1477eccaa6bb351cd836cca8fee3228537c6a99adade2ba6e533d9a8d26b0d3f,DOCENTE MÉDICO II,MEDICO ESPECIALISTA,33.0,2,10410000
147871156adaecd885449de7c8e70560c51024b4f3d2785fe31de85594540ce8,TECNICO/A EN SALUD,AUXILIAR DE FARMACIA,50.0,21,6031000
147910680a9ebe0be5c96f10d813477f366bf4f726489c95cb6881e86aa5b5b2,TECNICO I,TECNICO I,52.0,2026,5801465
147f1867fa143bd6c4249e3638091f0f06caca29d73a6c4d86b25c5b4f82d03f,TECNICO DOCENTE,TECNICO DOCENTE,36.0,16,4635150
14810e5f19d14716fa800175a8da4ba87ec1d982522164ba21f9154e4ee29e94,PROFESIONAL,ASISTENTE DE LA DIRECCION ACADEMICA,34.0,1,4520000
1482f6d741d11643d5d1f3fe24e3f61c8b1d53d1206ae1f6f9bf1a404d415f64,PROFESOR,PROFESOR,,2026,0
148a76c140d6a4b03a64f1618e0f6338a6c4a2a1743dab88a0b53902e34fe003,PROFESOR,PROFESOR,47.0,2026,6440557
148cd8e65b9eed62b5de474c7a51fd65ea7d4b15bf342fb5c6d4378d36c3c31c,PERSONAL DE SERVICIO II,COSTURERO/A,50.0,14,3608309
149340bf9916012b1eb82e55a77b04c4c1fd2fb4349292c5f516edf046ecbaf6,PROFESIONAL II,,55.0,2026,6923790
149c80c322f276a197878277a276a38e5bc9630fb4700cffa2df86ade092b484,JEFE DE DEPARTAMENTO,JEFE DE GESTION DEL PERSONAL DE LA FILIAL DE BENJAMÍN ACEVAL,41.0,17,7482139
149e9f713503552f19ba51f75b152499d2160657234ffe011f27d4e05239d764,PROFESOR,PROFESOR,33.0,1,3535147
14a7d73f5582f486e9da334bb83b8311aaf2af7c294b8fc67a139370a3c14916,PROFESIONAL III,FONOAUDIOLOGO/A,32.0,12,3608309
14a7eb1f32a6f96c443a17ba391d6e4b9f6c62a30ef50b13cb28e515e5ede814,HORAS CATEDRAS,HORAS CATEDRAS - IPT - SEGURIDAD E HIGIENE - QUÍMICA - MAÑANA,63.0,2,952009
14aa03e5f4da8949571b6ce7327a1ae729c74b928ea773511489a8e45944fac6,TECNICO III,TECNICO III,31.0,4,5918113
14ad99b6e39b8613930219d9ff07089b9c9c69eb8f2f2955506bf834167bd3be,DOCENTE TECNICO I,DOCENTE TECNICO I,,1,0
14aee2639447815495d95a6cf4399b059990bd4b514383e18fdac2a939d5aaac,PERSONAL DE SERVICIOS I,GUARDIA DE SEGURIDAD,47.0,25,5071000
14b3a4c4b5c8d7802f163a606bf82451a2a2b4cf86a8519c997335716bf2b1fd,PROFESOR ADJUNTO,PROFESOR ADJUNTO,49.0,19,2312972
14b515f7f1a80ff0dc887b560a1e5424fd6af8b4ad33c271183d002d1db0d9af,ENFERMERO/A ASIST - NIVEL II,ENFERMERO/A ASISTENCIAL,39.0,14,6435500
14bca40cbaf2e54a5b02bd5a8ebcb750222651e6bacc92f7d403b065241f4885,PROFESOR TITULAR,PROFESOR,78.0,2026,7248298
14c0976c203bfaa0cbcd6e5856e5c568cad176cc93d41a2970d0af0bd20d6938,PERSONAL DE SERVICIOS III,PERSONAL DE SERVICIOS III,30.0,2026,2750580
14c88ee8e41fb9e4585572cd850a81b46f6ca47e4b5cd10ea5448e066d324a9d,DOCENTE ENCARGADO DE CATEDRA,DOCENTE ENCARGADO DE CATEDRA,,2026,0
14caa60e0d950220698e006491232f871a85e8fd635a66c370fa92fc7d9f5049,PROFESOR,ENCARGADO DE CATEDRA,56.0,2026,985944
14cdec73f3c035f2f11a78c8071ad4a976f35c8efa6063ff7df12860b3cc709c,AUXILIAR DE SERVICIOS CLÍNICOS I,COORDINACION DE MANTENIMIENTO DE APOYO CLINICO,63.0,14,3844800
14ce55f946fd3a925624d817a2a46439bb226863eb0b236632d2646080a9b252,PROFESOR ASISTENTE,PROFESOR,80.0,15,6434137
14d8c34bedd1a69300072df56f3489abfa4a86bf34d4a56d392dfb398951a5f9,DOCENTE MÉDICO III,MEDICO RESIDENTE 3,30.0,3,5807958
14da305ccb9e9d22b566ffb210605f66611c91142f9f9b39cb44dcbf9405c9dd,ENFERMERO/A ASIST - NIVEL II,ENFERMERO/A ASISTENCIAL,40.0,14,6270000
14dd024468cb4f1f597c1f476ef01cc0dbb46a19d3a31029f72dcba728508a40,AUXILIAR DE LA ENSEÑANZA II,AUXILIAR DE LA ENSEÑANZA II,40.0,3,9811879
14df76a593e8d805d3cf42e1862839fce8490ffd96ddef2534f06394f93c6641,ENFERMERIA PROFESIONAL III,ENFERMERO/A ASISTENCIAL,37.0,14,7110000
14e28f1f7485bd792e552624791318554c7d0e0f84b30835c1b1b0767666f86f,PROFESOR,PROFESOR,74.0,5,985943
14e45fe000113937a65984d7968c214d1fed64bd2504a4fdf89f6aa7aa49a97d,DOCENTE TECNICO II,DOCENTE TECNICO,37.0,9,4768346
14fe937854f236050000c8ce77b4934f723d0091c53c4ebd33a7042f9653bd45,TECNICO/A EN SALUD,TECNICO/A RADIOLOGO/A,41.0,14,5615500
15032320a1310d8462aea894868caeac32132e363341604449bd3febc84f3466,AUXILIAR ADMINISTRATIVO,MOZO,33.0,1,2798309
15035696f4a87c3709e9a82823abe9396d09c23a16ef01b46868701a61da96b0,DOCENTE ENCARGADO DE CATEDRA,,42.0,2026,1255979
1504a45f72ed032d29810fd66751816b1f6e902d1e0428c52ef3c9ef286dce03,TECNICO/A EN SALUD,TECNICO/A DE LABORATORIO,42.0,21,5865500
150689b7cb2a4f00f43123e679dc19cf0f0d6b8f2ec40212fd6dedc392e3721f,PROFESOR,PROFESOR,46.0,1,3767937
15195e0f7e506c7e934ac4d85880cf11fa765ff3f8c3bc6b4219e80254d255dd,AUXILIAR ADMINISTRATIVO I,AUXILIAR ADMINISTRATIVO I,58.0,13,4823000
151b80729c506b0576f74a6f1246b0f6f5c3ec2e02f7d6a021daaade734cf317,PROFESIONAL I,PROFESIONAL I,35.0,16,6222000
151f427f9eb5c62f883f8f8108470d5dbf3a108dbbabdd7d9bbde9159de15807,AUXILIAR DE LA ENSEÑANZA II,,,1,0
152079eebec434686d9d9a73ef6dd99698cadbcea46b5e11021680e547a45daa,DOCENTE MÉDICO II,INSTRUCTOR,35.0,4,9610000
1521508bd6cf6c93bbfca4b5cdb1d86829c761af754bfd9ce79e83add1558c5c,PROFESOR ASISTENTE,PROFESOR ASISTENTE,54.0,18,1569450
1523eaae8c52bc51c6b151c46d5d5ab8f4bc8f5ce4c542db88e6bff794e3e1fd,DOCENTE ENCARGADO DE CATEDRA,ENCARGADO DE CATEDRA,65.0,11,1294822
1526c9d9d0dccf4753d143e8d1f0b41a9cfbcb16d79517390bd838d67f8e1078,PROFESOR,PROFESOR,41.0,2026,7106410
1529ef65d987c3bbd115386465be03b9d96a922711c0351bdd909d1a470f2d2e,DOCENTE MÉDICO II,MEDICO ESPECIALISTA,54.0,29,11510000
152b5ab0873c84dfdc3f60f85a2241f2cb42cf44f39c6c74364847eb6f73ae27,PROFESOR,ENCARGADO DE CÁTEDRAS - CURSOS BASICOS  - MATERIALES DE OBRAS CIVILES 1 SEMESTRE 3º,47.0,2,7575138
15350b95ffd35832d786b1439895ca14834267d4a98342580b3cb7ed7ca122ae,TECNICO II,DEPARTAMENTO DE CONTROL INTERNO,42.0,12,4457483
1538dd86242f68bc7bdc568f1322a964ff0e52bff022d4b2ab6b220b29fecd62,DOCENTE MÉDICO III,MEDICO RESIDENTE 2,32.0,6,5807958
153c4dcdd5b5bf4503fd7ca1b901cb54b9aeeb210d2bda4d9d0aa7d3300345a4,TECNICO DOCENTE,TECNICO DOCENTE,64.0,1,6640128
153ecbddee97cccbe657c6b887911a7cf50af1adfccf17401d838c02ff1c9852,AUXILIAR DE ENSEÑANZA III,AYUDANTE DE PERIODONCIA DEL CUARTO AÑO,62.0,36,835435
1542e715c2915d0d10b61e6dbcc78945e168bd96e74d07dfc83f89f3b72d1f63,AUX. DE LA ENSEÑANZA II,AUXILIAR DE ENSEÑANZA - CIVIL - VIAS DE COMUNICACION 2 - 8º,27.0,2,985943
15439ff295950f88be81c0848916265ced33640ec00d9f9ba45c6527216a4caf,PERSONAL DE SERVICIO II,LIMPIADOR/A,38.0,14,3939309
15480f496eb1eb0fc3fba356eb4921aa3d2183f85342c6b1e51191cd5746ddd4,ENFERMERO/A ASIST. - NIVEL,ENFERMERO/A ASISTENCIAL,34.0,11,5850000
154e859235c957ee8b8aee172c320d5409da783f3c1d22c000b50f951eca8a03,DOCENTE ENCARGADO DE CATEDRA,DOCENTE ENCARGADO DE CATEDRA,65.0,8,1914777
154faa9ee02461e1281bb9b7ea91165884eb0905f23822d0b745fa858ba33168,PERSONAL DE SERVICIO ESPECIFIC,AUXILIAR ADMINISTRATIVO,52.0,33,5160000
155081b6294913e44c9975ea67aceb65546e6bf5f62131335ad9b633a87cd2a4,DOCENTE MÉDICO III,MEDICO RESIDENTE 3,28.0,3,5807958
15531214874fca398fedec38429ee103057933937d6b30d5b08c317bc2401d58,PERSONAL DE SERVICIO II,PERSONAL DE SERVICIOS,50.0,18,3656724
1555b6ee434becae9cc748bbd79ec20f197f3e5943af980686d7f0541003e96c,HORAS CATEDRAS,DOCENTE DE AULA,55.0,8,5380683
1558ccfdcbf38380c98b0007afe3f01879743a5ef83bfdf9cd6d0763be505c5e,PROFESOR ADJUNTO,PROFESOR ADJUNTO,,1,0
155b0d9ac5480b2c56d82c487801d75b27b33e4e139d16c815999cf79bf70813,ENFERMERO/A ASIST. - NIVEL,ENFERMERO/A ASISTENCIAL,36.0,8,5850000
155dbb2d0eced33cfdb89937fc370aa64b275b3e73c863c67672097dfa85b520,DOCENTE ENCARGADO DE CATEDRA,ENCARGADO DE CATEDRA,48.0,8,1294822
156390186b09c0314ed9689f693d9e0bf0b15ca9a6765cf01ca06261da9c819d,PROFESOR ASISTENTE,,62.0,2026,1999299
156e43d2b4599c249c8472a97498d46b413043d950bea0403799dacefd97e5fe,PROFESIONAL DE LA SALUD TS,TRABAJADOR SOCIAL,42.0,19,7370500
156e9088816852b5baa700141a4a2af62b56cada40b7d673c1760f136bc467b9,TECNICO I,ENCARG. DE LA BIBLIOTECA DE LA FILIAL DE PJC,55.0,29,4887597
156fbdc358f55b1b83fb01afcef56e590bee849db7ac68c3483f8015e74e3453,PROFESOR ASISTENTE,PROFESOR ASISTENTE - GEOMETRIA DESCRIPTIVA Y DISEÑO TECNICO (IQ),57.0,5,6860251
156ff0754064587a8fd183208e635d9b6dfd14061d265ce220557c3d91f0e177,PROFESOR,PROFESOR,69.0,1,2119414
15701dca85459165df896cc0808a39ff5f200f6c6fb8c8c30ba5d3ad1a95a570,PROFESIONAL I,PROFESIONAL I,40.0,2026,5382000
1572c26b2467a3c6f5181f47320438ddb8a3a46dc7820a755569536e77731b2d,DOCENTE MÉDICO II,INSTRUCTOR,45.0,17,6010000
1572f694f246554639256b4375087c757720c5657667dcb86bbcfea9bb7adc37,DOCENTE TECNICO II,ASISTENTE ACADEMIA DE IDIOMAS - DIRECCIÓN DE EXTENSIÓN,52.0,12,3273216
15776f869fdcc0da6986bd085ba398ab0a88a1e526ca9ebacd06306a0de9727e,AUX. DE LA ENSEÑANZA IV,AUXILIAR DE ENSEÑANZA - GEOGRAFICA  - GEOMORFOLOGIA  SEMESTRE 8º,34.0,4,3274191
1579c825978666ae5885ea2d207b83cfb8d4b3cc83380b3f906729eec624ac4e,DOCENTE ENCARGADO DE CATEDRA,DOCENTE ENCARGADO DE CATEDRA,53.0,8,956422
158488bcde76814a1d9be2de637e56cad0c29c59373d407b2f7d4e4e81344f95,PROFESOR,PROFESOR,75.0,2026,10155401
1587631c460fc101d8d9eb19348d675a763f946eb570b6042c69ccdc22f7debd,ENFERMERO/A ASIST. - NIVEL,ENFERMERO/A ASISTENCIAL,26.0,4,5850000
158aa8c37c5f23a0cbf0217a911efd2fb1fd0f568bd42e379978d7499c34f079,DOCENTE PARA CURSOS,"DOCENTE DEL PROGRAMA DE ESPECIALIZACION EN DIDACTICA, DE POSTGRADO",40.0,1,3000000
158b52c205cca0fdbf98f69071bdc126358ccfc59287b1efbd96012161d2f45e,DOCENTE ENCARGADO DE CATEDRA,ENCARGADO DE CATEDRA,41.0,11,5887072
158d38605855773e9409543c0f4f2c0a4d0617750f569963689d37a198c6c06f,TECNICO I,AUXILIAR DEL DEPARTAMENTO DE INFORMÁTICA,45.0,15,5554413
159a6071fcd1380412367a8b9be8e5ca7960f64552b490c24edfd8b246687a67,PROFESOR,PROFESOR,65.0,1,2511958
159cbd16c155544bd91c9f45a2cdeac3b651399d1e8ed359bba875bcc4b094d3,PROFESOR,ADJUNTO - MECATRONICA  - ROBOTICA 1 SEMESTRE 9º,48.0,5,5603252
159d0136f7c51a595cff76347cc986b00ea058a9179fc595e7c6e4ea15ad0889,PROFESIONAL II,PROFESIONAL II,40.0,11,8426229
15a0ffc83257e0c99d0c52d8a2fc442e9bd437f2ed75b27db3370d7652084035,PERSONAL DE SERVICIOS II,PERSONAL DE SERVICIOS II,32.0,8,4327778
15aea8c5f4afcfdee22e9139328a28dc54c1559ac6ab853b6b7af10adac88c7f,DOCENTE MÉDICO III,MEDICO RESIDENTE 1,33.0,1,5807958
15b5acc2c7117233a4bd4b5af4e745898620854f26ad1f8fea18c7e0178600eb,DOCENTE MÉDICO III,MEDICO RESIDENTE 2,31.0,6,10207958
15b7c15ad737650b9a16ca844199f1e5db02f47a08845547467fada1e299dd09,DOCENTE MÉDICO II,MEDICO ESPECIALISTA,58.0,28,11510000
15b81a5238524830c81b0e99379b1fa8ae318c8e15cd467f2eeb42d4ed7d9d36,AUXILIAR ADMINISTRATIVO I,AUXILIAR ADMINISTRATIVO,41.0,20,6283000
15b89a5bd6596e6a8b186dbccaf2f4db6ce13d141d1521ba2e78152a576304ee,PROFESIONAL DE SALUD,ENFERMERO/A ASISTENCIAL,29.0,2,3600000
15b94e643e81fe4e73d46a8e579d1171530a74a7ac27b7df4d8172c6e9585c1c,DOCENTE TECNICO II,DOCENTE TECNICO II,58.0,14,3273216
15bbfb77e0fe7bc9c70faaf2a5083ed0d01cd8535e3860e4cbeafc08fa592d76,JEFE DE SECCION,JEFE DE LA COORDINACIÓN OPERATIVA SICCA - DIRECCIÓN DE GESTIÓN DE TALENTO HUMANO,39.0,14,6657960
15bcb5f2b0501c50403bb879323c0e2906a4fd7aca6c343517a9626f8287daf9,PROFESOR - GRADO,PROFESOR - GRADO,37.0,3,0
15c06c84530bb45df6bfb8b576f79e45bb82dff16a8af347a592707caf759c87,ENFERMERO/A ASIST - NIVEL II,ENFERMERO/A ASISTENCIAL,39.0,14,6601000
15c76307faa5ff39338977698534b89132e5f4d1a68ab6e7089ed761488a4d55,PROFESOR ASISTENTE,PROFESOR ASISTENTE,51.0,20,7833298
15ca3e2b026f93feba053e85391013efd6aaf2fd56ccf9eb974c8b9c4f2b2d59,DOCENTE ENCARGADO DE CATEDRA,DOCENTE ENCARGADO DE CATEDRA,45.0,2,958355
15cb403d95752d3f558920883641278685f429dd9f1f9a16d1416d80eb598e25,PROFESOR - GRADO,PROFESOR - GRADO,62.0,3,0
15ccbb7dd2d194fb39b012991342d1d8120bddcef9cf44271cb87ebaa88da6cc,AUXILIAR DE SERV. GRALES.,AUXILIAR DE SERV. GRALES.,34.0,2026,2636364
15d924ad189b72e27e3c23fa71cd59f5edeaeaf37f25f84f89f8c91ac67261b0,JEFE DE SECCION,SECRETARIO DE REDACCION DE RESOLUCIONES DEL DECANATO,31.0,2026,6550000
15ddc99afe6fd39a31e6cb5539f949c9468a9134e9c7a4e27f04e9f24c2cd149,PROFESOR,ADJUNTO,76.0,2026,7527366
15e03509524bffebe350f5f7d1a80b7c4bc1b526636710793431d5612c3a9522,TECNICO EN ENFERM- NIVEL 1,TECNICO EN ENFERMERIA,42.0,4,4850000
15ea00554fa6cb50b98cf7fc3f4645df3f40465898bab2eb62dc35c606a37426,TECNICO I,AUXILIAR DE BIBLIOTECA,61.0,45,6271425
15ebced638e372a216e9369db68e92afd89a9d590f3e0096fe2045c973751317,DOCENTE TECNICO I,DOCENTE TECNICO I,46.0,11,20004076
15ecfa988f69e3131ba23843dd9dd3fec00e612d4b90fc454e114ef2bd8d8fe2,PROFESOR,PROFESOR,65.0,1,11093042
15f0afedadfee6c794dc26d4f25832a9ad178e755bc404b987cf29af16a5247a,PROFESIONAL I,PROFESIONAL I,54.0,29,7671000
15f400149f2ff232e9b46ea660ede4c49017aa80b59135a4b387c5c61637021d,TECNICO III,TECNICO III,38.0,16,4721490
15f46962eb32ca4e371643fb907d82ec6f13ccf60789266ba694ade5153e812a,DOCENTE MÉDICO II,MEDICO ESPECIALISTA,68.0,14,11510000
15fc2ec774e4517c220022e35e4edc6a28468781fc58cb71340f77fd1c0cd3d0,DOCENTE ENCARGADO DE CATEDRA,ENCARGADO DE CATEDRA,39.0,1,1294822
15ffacaaf5fad765bc8d0f857f0052b9ba864c0242b1942c80e557ef795b9f71,DOCENTE MÉDICO II,MEDICO SUBJEFE DE GUARDIA - CIRUGIA,45.0,17,11510000
16002083b10f6315bd5602224452c2842f997effc93d39a4da6a6fcadf7e15b2,PROFESOR ASISTENTE,PROFESOR,52.0,18,1985972
1604e14c58a5f5df7b54e798f6adf40cc31faa11de49deecd9e3212d137951f8,DOCENTE TECNICO I,DOCENTE TECNICO,40.0,2026,14833315
16084d74878849f5c6ba1a1c4d38b9af390d5d682684e74c47ff8aacb0c50762,DOCENTE MÉDICO II,MEDICO ESPECIALISTA,61.0,2,6010000
1609e8a19c76ac32d76565defaad40011b166b7a3ca4cbd9ae4dd14648f9a42e,TECNICO I,OPERADOR (CCTV),32.0,14,5771425
1616fe83011ccde3ee679efacaa8b03ed8066ae27be8454e629b76d1d1f4d8ba,ENFERMERO/A ASIST - NIVEL II,ENFERMERO/A ASISTENCIAL,52.0,14,6270000
16183833ee8dddb4cae7bb079ebeda1e7ac2e819acf61fce843e89f9781b0975,AUXILIAR DE LA ENSEÑANZA I,,,1,0
1626d3e0a326f6731499d2b57be2b1934d9dbc83a1b0c5e646c31925ba3ee9b0,PROFESOR,PROFESOR,55.0,2026,1985971
16283059926dbc7a58f00dfabf1414ba3d24b406fe3b65c82e610db5aea325d7,DOCENTE TECNICO II,DOCENTE TECNICO II,28.0,1,4169702
1628df34deca5ad189f9fa0afe470c6ca99c9c307825146ae53aa50127187a44,TECNICO II,TECNICO II,,1,0
162a08144d3bdbd1c81720f1e4d8c51701c6ec4d393cd8ca6cb9cd8f94703faa,AUXILIAR ADMINISTRATIVO III,AUXILIAR ADMINISTRATIVO,42.0,5,3608309
162e786b956b6e31a00b20370c080944744562a6c7ddd62d1f75569eefa21c8b,PROFESOR ASISTENTE,PROFESOR,61.0,16,4575616
162e9b4905deb1b1472b8347e4896b3f324fef5c932a540102a80968258b3d88,TECNICO I,PERCEPTOR,34.0,3,5265597
16345bd4001e272f2c18c3a27e9f2116c28ed0e1aadf6180c1fad38805eed23a,DOCENTE TECNICO I,DOCENTE TECNICO I,48.0,2026,8199846
1634fd6da39daea7ac6b7842e83aeeb28e732be07c6191e40b400044cb4c4217,DOCENTE TECNICO II,DOCENTE TECNICO II,55.0,11,5425681
163dcdc0c3998a587df7d0164c7cd93804ec03b72c8a4ff500a2301b944de674,AUXILIAR ADMINISTRATIVO II,ENCARGADO/A,52.0,12,5152000
163f20fc34b2770cae3522ad954e137c769db1a39705bcd816734b46d4236712,AUXILIAR DE LA ENSEÑANZA II,JEFE DE TRABAJOS PRACTICOS DE CIRUGIA BUCAL III CURSO DEL QUINTO AÑO,46.0,18,985943
1643d97ef752ef79af57ce50db92e56bfdd6be5cec8c76d6e3403a2b153ec443,ASISTENTE DE ENFERMERIA,ASISTENTE DE ENFERMERIA,60.0,15,4385000
164449f589066a5330f025fc22137be6c76501bae965bbba3282cb78ce0a5592,ENFERMERO/A ASIST - NIVEL II,ENFERMERO/A ASISTENCIAL,45.0,14,6601000
1647088fd46d83f1876b9c175cce751515c7dc99f2dfc967a5c6109f615261fa,JEFE DE DEPARTAMENTO,JEFA DE DEPARTAMENTO DE SECRETARIA DEL DECANATO Y JEFA SECCIÓN DE GESTIÓN ADMINISTRATIVA - DECANATO,37.0,9,8833477
164d34ea45d728a3766af599485adffe5eb431d0ca2534700369d40bd0f8be85,PROFESOR TITULAR,PROFESOR TITULAR DE CIRUGIA BUCAL III CURSO DEL QUINTO AÑO,61.0,37,7402828
165193c4336749b142690ab1342d0ddbe8a8973b23bf08b3671810e9c9b89050,TECNICO III,TECNICO III,29.0,3,4099320
1659848ce9a66563754e35e1184f7fb8cdb3a4045a88f36b53212e2336dfee8d,PROFESIONAL II,AUXILIAR DE COMUNICACION,48.0,13,6184490
165b0b213eed4d541d427bacb94fa5ef8251a8e5b2ace613f7f9607a1fa25a76,PROFESOR,ENCARGADO DE CATEDRA,64.0,2026,985944
165b31b9febaa75b6bde062f229f074871ad21bbe0181cdcfc64ce00fd887d2c,PERSONAL DE SERVICIOS II,PERSONAL DE SERVICIOS II,33.0,2026,3336724
